t,x,y
0.25200,1.64050,2.02778
0.25300,1.64701,2.03181
0.25400,1.65352,2.03583
0.25500,1.66003,2.03983
0.25600,1.66654,2.04383
0.25700,1.67305,2.04782
0.25800,1.67956,2.05180
0.25900,1.68607,2.05577
0.26000,1.69258,2.05973
0.26100,1.69909,2.06368
0.26200,1.70560,2.06762
0.26300,1.71211,2.07155
0.26400,1.71862,2.07547
0.26500,1.72513,2.07938
0.26600,1.73164,2.08328
0.26700,1.73815,2.08717
0.26800,1.74466,2.09105
0.26900,1.75117,2.09492
0.27000,1.75768,2.09878
0.27100,1.76419,2.10263
0.27200,1.77070,2.10648
0.27300,1.77721,2.11031
0.27400,1.78372,2.11413
0.27500,1.79023,2.11794
0.27600,1.79674,2.12174
0.27700,1.80325,2.12554
0.27800,1.80976,2.12932
0.27900,1.81627,2.13309
0.28000,1.82278,2.13686
0.28100,1.82929,2.14061
0.28200,1.83580,2.14435
0.28300,1.84231,2.14809
0.28400,1.84882,2.15181
0.28500,1.85533,2.15552
0.28600,1.86184,2.15923
0.28700,1.86835,2.16292
0.28800,1.87486,2.16661
0.28900,1.88137,2.17028
0.29000,1.88788,2.17395
0.29100,1.89439,2.17760
0.29200,1.90090,2.18125
0.29300,1.90741,2.18488
0.29400,1.91392,2.18851
0.29500,1.92043,2.19213
0.29600,1.92694,2.19573
0.29700,1.93345,2.19933
0.29800,1.93996,2.20291
0.29900,1.94647,2.20649
0.30000,1.95298,2.21006
0.30100,1.95949,2.21361
0.30200,1.96600,2.21716
0.30300,1.97251,2.22070
0.30400,1.97902,2.22423
0.30500,1.98553,2.22775
0.30600,1.99204,2.23125
0.30700,1.99855,2.23475
0.30800,2.00506,2.23824
0.30900,2.01157,2.24172
0.31000,2.01808,2.24519
0.31100,2.02459,2.24865
0.31200,2.03110,2.25210
0.31300,2.03761,2.25554
0.31400,2.04412,2.25896
0.31500,2.05063,2.26238
0.31600,2.05714,2.26579
0.31700,2.06365,2.26919
0.31800,2.07016,2.27259
0.31900,2.07667,2.27597
0.32000,2.08318,2.27934
0.32100,2.08969,2.28270
0.32200,2.09620,2.28605
0.32300,2.10271,2.28939
0.32400,2.10922,2.29272
0.32500,2.11573,2.29604
0.32600,2.12224,2.29935
0.32700,2.12875,2.30266
0.32800,2.13526,2.30595
0.32900,2.14177,2.30923
0.33000,2.14828,2.31250
0.33100,2.15479,2.31577
0.33200,2.16130,2.31902
0.33300,2.16781,2.32226
0.33400,2.17432,2.32550
0.33500,2.18083,2.32872
0.33600,2.18734,2.33193
0.33700,2.19385,2.33514
0.33800,2.20036,2.33833
0.33900,2.20687,2.34152
0.34000,2.21338,2.34469
0.34100,2.21989,2.34786
0.34200,2.22640,2.35101
0.34300,2.23291,2.35416
0.34400,2.23942,2.35729
0.34500,2.24593,2.36042
0.34600,2.25244,2.36353
0.34700,2.25895,2.36664
0.34800,2.26546,2.36973
0.34900,2.27197,2.37282
0.35000,2.27848,2.37590
0.35100,2.28499,2.37896
0.35200,2.29150,2.38202
0.35300,2.29801,2.38507
0.35400,2.30452,2.38810
0.35500,2.31103,2.39113
0.35600,2.31754,2.39415
0.35700,2.32405,2.39716
0.35800,2.33056,2.40015
0.35900,2.33707,2.40314
0.36000,2.34358,2.40612
0.36100,2.35009,2.40909
0.36200,2.35659,2.41205
0.36300,2.36310,2.41500
0.36400,2.36961,2.41794
0.36500,2.37612,2.42087
0.36600,2.38263,2.42379
0.36700,2.38914,2.42669
0.36800,2.39565,2.42959
0.36900,2.40216,2.43248
0.37000,2.40867,2.43537
0.37100,2.41518,2.43824
0.37200,2.42169,2.44110
0.37300,2.42820,2.44395
0.37400,2.43471,2.44679
0.37500,2.44122,2.44962
0.37600,2.44773,2.45244
0.37700,2.45424,2.45525
0.37800,2.46075,2.45805
0.37900,2.46726,2.46085
0.38000,2.47377,2.46363
0.38100,2.48028,2.46640
0.38200,2.48679,2.46916
0.38300,2.49330,2.47192
0.38400,2.49981,2.47466
0.38500,2.50632,2.47739
0.38600,2.51283,2.48011
0.38700,2.51934,2.48283
0.38800,2.52585,2.48553
0.38900,2.53236,2.48823
0.39000,2.53887,2.49091
0.39100,2.54538,2.49358
0.39200,2.55189,2.49625
0.39300,2.55840,2.49890
0.39400,2.56491,2.50155
0.39500,2.57142,2.50418
0.39600,2.57793,2.50681
0.39700,2.58444,2.50942
0.39800,2.59095,2.51203
0.39900,2.59746,2.51462
0.40000,2.60397,2.51721
0.40100,2.61048,2.51979
0.40200,2.61699,2.52235
0.40300,2.62350,2.52491
0.40400,2.63001,2.52746
0.40500,2.63652,2.52999
0.40600,2.64303,2.53252
0.40700,2.64954,2.53504
0.40800,2.65605,2.53754
0.40900,2.66256,2.54004
0.41000,2.66907,2.54253
0.41100,2.67558,2.54501
0.41200,2.68209,2.54748
0.41300,2.68860,2.54993
0.41400,2.69511,2.55238
0.41500,2.70162,2.55482
0.41600,2.70813,2.55725
0.41700,2.71464,2.55967
0.41800,2.72115,2.56208
0.41900,2.72766,2.56448
0.42000,2.73417,2.56687
0.42100,2.74068,2.56925
0.42200,2.74719,2.57162
0.42300,2.75370,2.57398
0.42400,2.76021,2.57633
0.42500,2.76672,2.57867
0.42600,2.77323,2.58100
0.42700,2.77974,2.58332
0.42800,2.78625,2.58563
0.42900,2.79276,2.58793
0.43000,2.79927,2.59023
0.43100,2.80578,2.59251
0.43200,2.81229,2.59478
0.43300,2.81880,2.59704
0.43400,2.82531,2.59930
0.43500,2.83182,2.60154
0.43600,2.83833,2.60377
0.43700,2.84484,2.60599
0.43800,2.85135,2.60821
0.43900,2.85786,2.61041
0.44000,2.86437,2.61260
0.44100,2.87088,2.61479
0.44200,2.87739,2.61696
0.44300,2.88390,2.61913
0.44400,2.89041,2.62128
0.44500,2.89692,2.62342
